cota;area_ha;volume_hm3
511,63;5,1432916771138e-02;3,2515680067712e-04
511,64;5,1826254058617e-02;3,3009968649573e-04
511,65;5,2217205792472e-02;3,3534370994954e-04
511,66;5,2606189774758e-02;3,4055861008379e-04
511,67;5,2996147685443e-02;3,4570472567687e-04
511,68;5,3387687508289e-02;3,5109174539073e-04
511,69;5,3779075903008e-02;3,5642363704781e-04
511,70;5,4161968308522e-02;3,6188032588725e-04
511,71;5,4539148310430e-02;3,6735490392354e-04
511,72;5,4913729611506e-02;3,7288444362250e-04
511,73;5,5288327847528e-02;3,7841826035106e-04
511,74;5,5663092285085e-02;3,8397566660316e-04
511,75;5,6037971683004e-02;3,8955279710060e-04
511,76;5,6411155333550e-02;3,9510823422653e-04
511,77;5,6782008123494e-02;4,0064118199541e-04
511,78;5,7151567076375e-02;4,0603803669785e-04
511,79;5,7520531361825e-02;4,1176936203675e-04
511,80;5,7889375469074e-02;4,1755490692756e-04
511,81;5,8257844096552e-02;4,2330646239789e-04
511,82;5,8625774765977e-02;4,2919773590421e-04
511,83;5,8992824147708e-02;4,3502010944970e-04
511,84;5,9359382344237e-02;4,4103471999704e-04
511,85;5,9725569129292e-02;4,4686983038066e-04
511,86;6,0091276891309e-02;4,5296262816379e-04
511,87;6,0454969775684e-02;4,5898197809882e-04
511,88;6,0816293517281e-02;4,6514642024331e-04
511,89;6,1176397450923e-02;4,7126643595715e-04
511,90;6,1535102521065e-02;4,7720015223973e-04
511,91;6,1893955401090e-02;4,8336057936026e-04
511,92;6,2252948925075e-02;4,8975554035177e-04
511,93;6,2612238556383e-02;4,9600031328894e-04
511,94;6,2971961920873e-02;5,0219331877686e-04
511,95;6,3331937462919e-02;5,0856779384478e-04
511,96;6,3691619938545e-02;5,1491301206768e-04
511,97;6,4051156696458e-02;5,2130906797673e-04
511,98;6,4410801513796e-02;5,2748869813466e-04
511,99;6,4770442474394e-02;5,3389132865687e-04
512,00;6,5130322969472e-02;5,4051374564935e-04
512,01;6,5490679027353e-02;5,4697980920874e-04
512,02;6,5852170525008e-02;5,5354850530941e-04
512,03;6,6214105464824e-02;5,6010557182705e-04
512,04;6,6575951690201e-02;5,6668889604899e-04
512,05;6,6938611499784e-02;5,7340958457107e-04
512,06;6,7302550120322e-02;5,8010248710502e-04
512,07;6,7667819026577e-02;5,8686154608012e-04
512,08;6,8033893107329e-02;5,9360124254970e-04
512,09;6,8400718280151e-02;6,0041321802146e-04
512,10;6,8768208446998e-02;6,0717621552358e-04
512,11;6,9137009159518e-02;6,1412219017860e-04
512,12;6,9507286450572e-02;6,2095483261076e-04
512,13;6,9878843077620e-02;6,2784232429946e-04
512,14;7,0251410685674e-02;6,3485300352227e-04
512,15;7,0624676110014e-02;6,4191010950240e-04
512,16;7,0998901218857e-02;6,4903861857973e-04
512,17;7,1374044120888e-02;6,5600902148576e-04
512,18;7,1749889343582e-02;6,6307085091142e-04
512,19;7,2127054208429e-02;6,7019602289339e-04
512,20;7,2505362281660e-02;6,7744836178565e-04
512,21;7,2886220906863e-02;6,8474388902085e-04
512,22;7,3268972304586e-02;6,9206369793465e-04
512,23;7,3652736653762e-02;6,9937558018430e-04
512,24;7,4037142524949e-02;7,0693788162816e-04
512,25;7,4420854947597e-02;7,1434523376900e-04
512,26;7,4804724872920e-02;7,2210474624349e-04
512,27;7,5188570665371e-02;7,2961387244215e-04
512,28;7,5571856741022e-02;7,3714543114635e-04
512,29;7,5955549834562e-02;7,4460865781542e-04
512,30;7,6340382407006e-02;7,5222365436391e-04
512,31;7,6726317201415e-02;7,5989603977039e-04
512,32;7,7113405619365e-02;7,6746077735763e-04
512,33;7,7500341716791e-02;7,7480487922974e-04
512,34;7,7887306754585e-02;7,8253470192566e-04
512,35;7,8274433374447e-02;7,9030771228651e-04
512,36;7,8662005419456e-02;7,9814395531955e-04
512,37;7,9048975283415e-02;8,0599539336949e-04
512,38;7,9435694453148e-02;8,1394491015412e-04
512,39;7,9823131297640e-02;8,2178529214247e-04
512,40;8,0211551327237e-02;8,2984179722957e-04
512,41;8,0600917709515e-02;8,3769186152486e-04
512,42;8,0990928465612e-02;8,4574685538377e-04
512,43;8,1381680043531e-02;8,5388363532086e-04
512,44;8,1773448911179e-02;8,6199041879480e-04
512,45;8,2165896436453e-02;8,7017247974127e-04
512,46;8,2559062067721e-02;8,7844369410737e-04
512,47;8,2953251528450e-02;8,8675216441540e-04
512,48;8,3349149660282e-02;8,9503347802593e-04
512,49;8,3745497476597e-02;9,0345603654319e-04
512,50;8,4142447444988e-02;9,1190218915487e-04
512,51;8,4540410604129e-02;9,2028995157576e-04
512,52;8,4939390902261e-02;9,2874753422992e-04
512,53;8,5338515447154e-02;9,3711451018908e-04
512,54;8,5737526002394e-02;9,4561827876956e-04
512,55;8,6136542895931e-02;9,5436291875163e-04
512,56;8,6536240423861e-02;9,6308677658934e-04
512,57;8,6936842039234e-02;9,7173901963763e-04
512,58;8,7338231025442e-02;9,8045779514619e-04
512,59;8,7739873969128e-02;9,8913572174024e-04
512,60;8,8142108262046e-02;9,9795245973821e-04
512,61;8,8544888336768e-02;1,0066689035252e-03
512,62;8,8948186074917e-02;1,0155002425431e-03
512,63;8,9351953448176e-02;1,0244164621616e-03
512,64;8,9756502169246e-02;1,0333580462020e-03
512,65;9,0162591326015e-02;1,0424130230673e-03
512,66;9,0569993444004e-02;1,0514640925040e-03
512,67;9,0978690085761e-02;1,0604681623991e-03
512,68;9,1389914247986e-02;1,0693569787692e-03
512,69;9,1802569036378e-02;1,0787002031399e-03
512,70;9,2216631276789e-02;1,0878556394120e-03
512,71;9,2632062396723e-02;1,0970487724490e-03
512,72;9,3048679872747e-02;1,1063390551641e-03
512,73;9,3466659208536e-02;1,1155584248971e-03
512,74;9,3885828436770e-02;1,1248970430636e-03
512,75;9,4305749453174e-02;1,1343179126187e-03
512,76;9,4727077291209e-02;1,1438314363725e-03
512,77;9,5151016012133e-02;1,1533159193489e-03
512,78;9,5577550151415e-02;1,1628106916813e-03
512,79;9,6006308702353e-02;1,1724150683802e-03
512,80;9,6437311768648e-02;1,1820324044108e-03
512,81;9,6870302328737e-02;1,1917918316893e-03
512,82;9,7307690935843e-02;1,2014020098233e-03
512,83;9,7751759519532e-02;1,2111802099978e-03
512,84;9,8200361177177e-02;1,2207020342763e-03
512,85;9,8650205088907e-02;1,2304846436331e-03
512,86;9,9100484948669e-02;1,2403131408748e-03
512,87;9,9550180052897e-02;1,2501786835387e-03
512,88;9,9997301493283e-02;1,2601259770492e-03
512,89;1,0044118140222e-01;1,2699432312492e-03
512,90;1,0088232438792e-01;1,2800071055920e-03
512,91;1,0132106875939e-01;1,2903400093657e-03
512,92;1,0175809268347e-01;1,3004765461962e-03
512,93;1,0219386916729e-01;1,3106787004971e-03
512,94;1,0262814713349e-01;1,3209280487195e-03
512,95;1,0306102552140e-01;1,3311663096062e-03
512,96;1,0349258347293e-01;1,3413746773465e-03
512,97;1,0392377892908e-01;1,3520476646528e-03
512,98;1,0435475392590e-01;1,3623560431680e-03
512,99;1,0478487049461e-01;1,3730023140218e-03
513,00;1,0521443649229e-01;1,3835129936001e-03
513,01;1,0564368864838e-01;1,3939751811330e-03
513,02;1,0607264096226e-01;1,4045833533524e-03
513,03;1,0650148495560e-01;1,4152711062021e-03
513,04;1,0693039421445e-01;1,4259018874428e-03
513,05;1,0735925286796e-01;1,4367655258220e-03
513,06;1,0778866019706e-01;1,4474651220652e-03
513,07;1,0821883666180e-01;1,4582502772872e-03
513,08;1,0864897067927e-01;1,4691163844433e-03
513,09;1,0907897019497e-01;1,4799883464494e-03
513,10;1,0950910191619e-01;1,4908193445324e-03
513,11;1,0993942149388e-01;1,5016720385116e-03
513,12;1,1036947845217e-01;1,5125984965176e-03
513,13;1,1079963556400e-01;1,5236669808552e-03
513,14;1,1123015415444e-01;1,5349611089650e-03
513,15;1,1166113825406e-01;1,5460374266327e-03
513,16;1,1209268311223e-01;1,5571915037352e-03
513,17;1,1252452969643e-01;1,5684523102024e-03
513,18;1,1295751613119e-01;1,5795816031308e-03
513,19;1,1339074145675e-01;1,5907329038430e-03
513,20;1,1382421051156e-01;1,6021684551412e-03
513,21;1,1425823705017e-01;1,6135088318216e-03
513,22;1,1469294744139e-01;1,6248395119516e-03
513,23;1,1512771707005e-01;1,6362279034500e-03
513,24;1,1556277340630e-01;1,6477849680767e-03
513,25;1,1599837568081e-01;1,6593849152182e-03
513,26;1,1643476746750e-01;1,6710150651210e-03
513,27;1,1687167514927e-01;1,6827464371577e-03
513,28;1,1730958604952e-01;1,6944757397479e-03
513,29;1,1774969229584e-01;1,7062054876226e-03
513,30;1,1819160327338e-01;1,7181211999073e-03
513,31;1,1863352986395e-01;1,7300497782153e-03
513,32;1,1907463789515e-01;1,7418370146499e-03
513,33;1,1951522194085e-01;1,7537971092988e-03
513,34;1,1995430526125e-01;1,7658133723425e-03
513,35;1,2039161956179e-01;1,7776916347002e-03
513,36;1,2082774060943e-01;1,7897267968686e-03
513,37;1,2126387792848e-01;1,8015950486679e-03
513,38;1,2169930706454e-01;1,8136433599115e-03
513,39;1,2213423215730e-01;1,8257025089713e-03
513,40;1,2256965744611e-01;1,8380171802198e-03
513,41;1,2300582716635e-01;1,8502906484740e-03
513,42;1,2344273992449e-01;1,8626386651256e-03
513,43;1,2388043641746e-01;1,8750189752827e-03
513,44;1,2431944532763e-01;1,8873519846726e-03
513,45;1,2475985520674e-01;1,8997141666232e-03
513,46;1,2520149310066e-01;1,9120184113525e-03
513,47;1,2564278892212e-01;1,9244322914290e-03
513,48;1,2608259819967e-01;1,9371555376936e-03
513,49;1,2652068127184e-01;1,9494653840589e-03
513,50;1,2695399658010e-01;1,9620059675323e-03
513,51;1,2738140899400e-01;1,9743655503180e-03
513,52;1,2780267716127e-01;1,9872176969286e-03
513,53;1,2822149757608e-01;2,0000510200836e-03
513,54;1,2863866058509e-01;2,0127938271031e-03
513,55;1,2905415444979e-01;2,0256814064754e-03
513,56;1,2946794832020e-01;2,0388304873220e-03
513,57;1,2988003750076e-01;2,0517937350599e-03
513,58;1,3029043573946e-01;2,0648239450367e-03
513,59;1,3069921340075e-01;2,0777346837115e-03
513,60;1,3110627878374e-01;2,0907890780135e-03
513,61;1,3151166616858e-01;2,1036693795620e-03
513,62;1,3191536830007e-01;2,1167945918850e-03
513,63;1,3231720689490e-01;2,1298299214676e-03
513,64;1,3271746129529e-01;2,1429615690691e-03
513,65;1,3311640330796e-01;2,1561751479641e-03
513,66;1,3351400267499e-01;2,1694120143907e-03
513,67;1,3391059399375e-01;2,1830221325678e-03
513,68;1,3430598993122e-01;2,1963000266816e-03
513,69;1,3470045023184e-01;2,2097891176858e-03
513,70;1,3509515444846e-01;2,2233934499564e-03
513,71;1,3549025112012e-01;2,2367584918587e-03
513,72;1,3588575215599e-01;2,2500677309477e-03
513,73;1,3628372493801e-01;2,2636219088105e-03
513,74;1,3669369800052e-01;2,2774196832782e-03
513,75;1,3711323914507e-01;2,2909568108014e-03
513,76;1,3753628704533e-01;2,3046212955874e-03
513,77;1,3796289358934e-01;2,3183714948530e-03
513,78;1,3839492282031e-01;2,3322962679565e-03
513,79;1,3883552180784e-01;2,3460546409099e-03
513,80;1,3928281944651e-01;2,3599357749343e-03
513,81;1,3973987137548e-01;2,3738255570434e-03
513,82;1,4020616813937e-01;2,3877687414774e-03
513,83;1,4068027435808e-01;2,4018122731149e-03
513,84;1,4115984344067e-01;2,4160366599823e-03
513,85;1,4164339385702e-01;2,4301674019568e-03
513,86;1,4213118856758e-01;2,4443359274152e-03
513,87;1,4262687589701e-01;2,4584131720704e-03
513,88;1,4313650149487e-01;2,4727257344081e-03
513,89;1,4366957037652e-01;2,4869642867668e-03
513,90;1,4422378446006e-01;2,5013723731909e-03
513,91;1,4482622266025e-01;2,5159532058418e-03
513,92;1,4546170204242e-01;2,5304999910133e-03
513,93;1,4610818882810e-01;2,5450623848751e-03
513,94;1,4686081620541e-01;2,5594902326227e-03
513,95;1,4766787441523e-01;2,5741006938461e-03
513,96;1,4838511081796e-01;2,5889157421988e-03
513,97;1,4906911816783e-01;2,6038589642986e-03
513,98;1,4973185051908e-01;2,6191048372276e-03
513,99;1,5038602255269e-01;2,6343639967664e-03
514,00;1,5104071923201e-01;2,6493556721540e-03
514,01;1,5171655576089e-01;2,6646351907475e-03
514,02;1,5240030175517e-01;2,6800932075603e-03
514,03;1,5307235868930e-01;2,6951090579150e-03
514,04;1,5373729889073e-01;2,7103472816726e-03
514,05;1,5439511661773e-01;2,7254023208798e-03
514,06;1,5504986290634e-01;2,7408132229297e-03
514,07;1,5570332355446e-01;2,7562341569404e-03
514,08;1,5635762604786e-01;2,7717715523612e-03
514,09;1,5702028133826e-01;2,7875269970356e-03
514,10;1,5768976829988e-01;2,8032787615329e-03
514,11;1,5835549980416e-01;2,8191444050998e-03
514,12;1,5901543328841e-01;2,8349913515571e-03
514,13;1,5967132576689e-01;2,8509610877381e-03
514,14;1,6032604864832e-01;2,8669001995840e-03
514,15;1,6097979062761e-01;2,8829599541952e-03
514,16;1,6163274005890e-01;2,8989529335689e-03
514,17;1,6228684947770e-01;2,9151332135911e-03
514,18;1,6294181897310e-01;2,9315421516320e-03
514,19;1,6359918244667e-01;2,9474427780894e-03
514,20;1,6426206774302e-01;2,9639195244831e-03
514,21;1,6493165253165e-01;2,9802839666723e-03
514,22;1,6560660968181e-01;2,9967802881023e-03
514,23;1,6629058740003e-01;3,0134021938656e-03
514,24;1,6699760142647e-01;3,0300554353313e-03
514,25;1,6770056261840e-01;3,0468827650619e-03
514,26;1,6839144754673e-01;3,0634729990027e-03
514,27;1,6908355053353e-01;3,0802652217130e-03
514,28;1,6978443130062e-01;3,0973105303647e-03
514,29;1,7048920698294e-01;3,1142798571151e-03
514,30;1,7119014392430e-01;3,1310627851731e-03
514,31;1,7189119836516e-01;3,1480605454561e-03
514,32;1,7259108646752e-01;3,1650665931491e-03
514,33;1,7328960755397e-01;3,1821680607687e-03
514,34;1,7398711424667e-01;3,1997787279776e-03
514,35;1,7468428988417e-01;3,2174041919611e-03
514,36;1,7539527770611e-01;3,2350299989217e-03
514,37;1,7610750700183e-01;3,2525789410642e-03
514,38;1,7681673183148e-01;3,2702863640074e-03
514,39;1,7752606430887e-01;3,2881479038516e-03
